Director,Average Popularity Score
Tim Burton,1032.44
Michael Sarnoski,240.67700000000002
Fede Álvarez,233.86366666666663
JD Allen,148.46333333333334
M. Night Shyamalan,141.74233333333333
Jamie Bailey,128.3745
Andy Muschietti,78.7425
James Wan,64.861
Marcus Dunstan,64.5574
Alexandre Aja,62.30266666666666
James Wong,56.333
Michael Chaves,52.348
Damien Leone,49.0296
Daniel Stamm,46.2065
RJ Collins,44.252
Natalie Erika James,42.916
David Gordon Green,41.33733333333333
Don Mancini,39.222
Jordan Peele,37.95433333333333
Jaume Collet-Serra,36.864
John Erick Dowdle,36.477666666666664
Christopher Landon,36.00533333333333
Ti West,34.81775
Ari Aster,34.2375
Wes Craven,34.12
Adam Robitel,33.39533333333333
Kevin Greutert,33.0038
Takashi Shimizu,32.169
Scott Derrickson,32.03625
Guillermo del Toro,31.731666666666666
Victor Salva,31.511333333333337
Matt Bettinelli-Olpin,31.297666666666668
Scott Stewart,29.745666666666665
John R. Leonetti,29.1175
Gore Verbinski,29.081
Graham Skipper,26.611333333333334
Jeff Wadlow,26.58025
Stephen Cognetti,26.2785
Marcus Nispel,25.952749999999998
Gary Shore,25.771
Jim Gillespie,25.2345
David R. Ellis,24.692999999999998
Robert Rodriguez,23.669500000000003
Christopher Ray,23.25377777777778
Bryan Bertino,23.011000000000003
Rob Zombie,22.875833333333333
David Bruckner,22.686
Hideo Nakata,21.895
David Firth,21.762
Mikael Håfström,21.74
John McPhail,21.43
Steve Miner,21.314
Le Van Kiet,20.722
Brad Anderson,20.399
Julien Maury,19.199
Mike Flanagan,19.189333333333334
Darren Lynn Bousman,19.143181818181816
Martin Guigui,18.991500000000002
Jack Sholder,18.859
Leigh Janiak,18.478
Renny Harlin,18.1385
Aaron Mirtes,18.135714285714286
Masayuki Ochiai,17.430999999999997
Steven R. Monroe,17.201
Becca Hirani,17.079
Michael Dougherty,16.46
Dennis Iliadis,16.293
John Gulager,15.771199999999999
Jamie Blanks,15.6145
Isaac Ezban,15.574000000000002
Danny Pang,15.505999999999998
Ciarán Foy,15.375
James Isaac,15.094
Patrick Lussier,15.0812
Zach Lipovsky,15.058
Nelson McCormick,14.764000000000001
Joe Lynch,14.740666666666664
Ole Bornedal,14.664
John Pogue,14.578000000000001
Dario Argento,13.999
Daniel di Grado,13.673
Lucky McKee,13.474666666666666
Jennifer Lynch,13.4725
Greg McLean,13.3845
Franck Khalfoun,13.208999999999998
Ali Zamani,13.183
Ryûhei Kitamura,13.16575
David F. Sandberg,13.05975
Steve Wolsh,13.050333333333333
Dan Golden,12.998333333333333
Anthony DiBlasi,12.7934
Don Michael Paul,12.2275
Dante Yore,12.116
Juan Pablo Arias Munoz,12.0915
